log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,murr,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
murr-dataset/movielens/mcd/mcd_alpha0_seed_2024_filter.log,movielens,mcd,alpha0,2024,999611,saved/mcd_alpha0_seed_2024_filter_May-02-2026_16-29-59.pth,0.1665,0.3593,0.1122,0.3593,0.018,788.2803,0.6665,0.8297,0.0026,0.0016,0.10813,720.689793,0.415455,8.309106,0.707784,0.017872,0.003058,0.197852,0.459761,0.307881
murr-dataset/movielens/mcd/mcd_no_dis_seed_2020_filter.log,movielens,mcd,no_dis,2020,999611,saved/mcd_no_dis_seed_2020_filter_May-02-2026_16-29-59.pth,0.1654,0.3593,0.1108,0.3593,0.018,785.3702,0.6643,0.8329,0.0026,0.0016,0.120891,718.284694,0.414586,8.291722,0.708676,0.017898,0.003052,0.198143,0.460039,0.307881
murr-dataset/movielens/mcd/mcd_no_dis_seed_2021_filter.log,movielens,mcd,no_dis,2021,999611,saved/mcd_no_dis_seed_2021_filter_May-02-2026_16-29-59.pth,0.1666,0.3591,0.1122,0.3591,0.018,787.7403,0.6651,0.8285,0.0026,0.0015,0.114286,720.985745,0.414478,8.28957,0.708787,0.017901,0.003051,0.194915,0.460596,0.310331
murr-dataset/movielens/mcd/mcd_no_dis_seed_2022_filter.log,movielens,mcd,no_dis,2022,999611,saved/mcd_no_dis_seed_2022_filter_May-02-2026_16-29-59.pth,0.166,0.3626,0.1106,0.3626,0.0181,792.5689,0.6686,0.8253,0.0026,0.0016,0.10691,727.616772,0.410728,8.21457,0.712615,0.018016,0.003023,0.203037,0.467836,0.309922
murr-dataset/movielens/mcd/mcd_no_dis_seed_2023_filter.log,movielens,mcd,no_dis,2023,999611,saved/sasrec_mcd_May-04-2026_13-59-54.pth,0.1665,0.3598,0.1121,0.3598,0.018,795.6548,0.6662,0.8344,0.0026,0.0018,0.121186,728.859801,0.410935,8.218709,0.712405,0.01801,0.003025,0.201618,0.463381,0.307881
murr-dataset/movielens/mcd/mcd_no_dis_seed_2024_filter.log,movielens,mcd,no_dis,2024,999611,saved/mcd_no_dis_seed_2024_filter_May-02-2026_16-29-59.pth,0.168,0.3619,0.1133,0.3619,0.0181,792.7398,0.6711,0.8247,0.0026,0.0015,0.110088,726.476126,0.409776,8.19553,0.713582,0.018045,0.003016,0.204392,0.464216,0.306656
murr-dataset/movielens/bm/dirichlet_bm_a1_seed_2021_filter.log,movielens,bm,a1,2021,999611,saved/dirichlet_a1_seed_2021_filter_May-02-2026_16-29-59.pth,0.1685,0.3659,0.1129,0.3659,0.0183,898.2589,0.7583,0.6368,0.0032,0.0001,0.184348,814.373758,0.324901,6.498013,0.792334,0.02064,0.002391,0.279008,0.494013,0.278481
murr-dataset/movielens/bm/dirichlet_bm_a1_seed_2023_filter.log,movielens,bm,a1,2023,999611,saved/dirichlet_a1_seed_2023_filter_May-02-2026_16-29-59.pth,0.1663,0.3634,0.1109,0.3634,0.0182,915.5089,0.7616,0.6333,0.0032,0.0001,0.197064,830.089685,0.318833,6.376656,0.797451,0.020826,0.002347,0.28687,0.499582,0.276848
murr-dataset/movielens/bm/dirichlet_bm_alpha0_seed_2020_filter.log,movielens,bm,alpha0,2020,999611,saved/dirichlet_alpha0_seed_2020_filter_May-02-2026_16-29-59.pth,0.1661,0.3604,0.1115,0.3604,0.018,908.5585,0.7603,0.6277,0.0033,0.0001,0.198401,821.334967,0.322682,6.453642,0.794212,0.020708,0.002375,0.281618,0.493177,0.276439
murr-dataset/movielens/bm/dirichlet_bm_alpha0_seed_2022_filter.log,movielens,bm,alpha0,2022,999611,saved/dirichlet_alpha0_seed_2022_filter_May-02-2026_16-29-59.pth,0.1667,0.3649,0.1109,0.3649,0.0182,914.6722,0.7622,0.6272,0.0033,0.0001,0.180565,829.025199,0.320389,6.407781,0.796144,0.020778,0.002358,0.28856,0.498468,0.275214
