log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
beyond-fairness-dataset/amazon-office/mcd/mcd_ua_2021_default.log,amazon-office,mcd,ua,,1243186,saved/sasrec_mcd_ua_Apr-04-2026_22-31-44.pth,0.0344,0.0743,0.0228,0.0743,0.0037,102.1774,0.966,0.2569,0.0002,0.0065,1.079288,0.250266,5.005313,0.371881,0.000241,0.00011,1.0,0.000102,0.0
beyond-fairness-dataset/amazon-office/mcd/mcd_ue_2020_default.log,amazon-office,mcd,ue,,1243186,saved/sasrec_mcd_ueApr-04-2026_22-27-31.pth,0.034,0.074,0.0224,0.074,0.0037,101.8009,0.9641,0.266,0.0002,0.0068,1.079288,0.250266,5.005313,0.371881,0.000241,0.00011,1.0,0.000102,0.0
beyond-fairness-dataset/amazon-office/mcd/mcd_ue_2021_default.log,amazon-office,mcd,ue,,1243186,saved/sasrec_mcd_ueApr-04-2026_22-31-33.pth,0.0344,0.0742,0.0228,0.0742,0.0037,102.2155,0.9662,0.2564,0.0002,0.0065,1.079288,0.250266,5.005313,0.371881,0.000241,0.00011,1.0,0.000102,0.0
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_no_dis_seed_2023_default.log,amazon-beauty,edl,no_dis,2023,2023070,saved/sasrec_dirichlet_no_dis_edl_Apr-01-2026_21-08-05.pth,0.0383,0.0673,0.0299,0.0673,0.0034,77.3807,0.9045,0.4604,0.0001,0.0228,76.133089,0.187339,3.746781,0.891028,0.000476,2.7e-05,0.832009,0.093352,0.00856
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_no_dis_seed_2022_default.log,amazon-beauty,edl,no_dis,2022,2023070,saved/sasrec_dirichlet_no_dis_edl_Apr-01-2026_01-17-19.pth,0.0379,0.0685,0.0291,0.0685,0.0034,95.3673,0.9094,0.4562,0.0001,0.0109,94.273658,0.144397,2.887949,0.91904,0.000501,2.1e-05,0.837563,0.095254,0.00842
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_no_dis_seed_2020_default.log,amazon-beauty,edl,no_dis,2020,2023070,saved/sasrec_dirichlet_no_dis_edl_Mar-30-2026_14-14-16.pth,0.0374,0.0688,0.0282,0.0688,0.0034,90.298,0.9153,0.4465,0.0001,0.0097,89.19861,0.133278,2.66556,0.925967,0.000508,2e-05,0.839151,0.095743,0.008374
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_no_dis_seed_2024_default.log,amazon-beauty,edl,no_dis,2024,2023070,saved/sasrec_dirichlet_no_dis_edl_Apr-01-2026_21-10-10.pth,0.0384,0.0677,0.0299,0.0677,0.0034,93.0239,0.9048,0.4635,0.0001,0.0118,91.773353,0.153828,3.076567,0.913063,0.000496,2.3e-05,0.841651,0.093861,0.00807
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_no_dis_seed_2021_default.log,amazon-beauty,edl,no_dis,2021,2023070,saved/sasrec_dirichlet_no_dis_edl_Mar-26-2026_20-51-58.pth,0.0383,0.0685,0.0296,0.0685,0.0034,86.2763,0.909,0.4556,0.0001,0.0129,85.185669,0.152278,3.045553,0.914052,0.000496,2.2e-05,0.837165,0.095263,0.008444
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ua_seed_2020_default.log,amazon-beauty,edl,ua,2020,2023070,saved/sasrec_dirichlet_ua_edl_Mar-30-2026_14-12-05.pth,0.0373,0.0687,0.0282,0.0687,0.0034,90.1247,0.9153,0.4465,0.0001,0.0097,89.035221,0.133306,2.666118,0.92595,0.000508,2e-05,0.838987,0.095638,0.008374
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ua_seed_2023_default.log,amazon-beauty,edl,ua,2023,2023070,saved/sasrec_dirichlet_ua_edl_Apr-01-2026_21-06-37.pth,0.0383,0.0678,0.0298,0.0678,0.0034,79.68,0.9057,0.4592,0.0001,0.025,78.497751,0.186329,3.726589,0.89171,0.000477,2.7e-05,0.833235,0.094101,0.00856
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ua_seed_2022_default.log,amazon-beauty,edl,ua,2022,2023070,saved/sasrec_dirichlet_ua_edl_Apr-01-2026_01-17-52.pth,0.0379,0.0684,0.0291,0.0684,0.0034,95.7235,0.9095,0.4566,0.0001,0.0109,94.636957,0.144338,2.886758,0.919077,0.000501,2.1e-05,0.837714,0.09535,0.00842
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ue_seed_2020_default.log,amazon-beauty,edl,ue,2020,2023070,saved/sasrec_dirichlet_ue_edl_Mar-30-2026_14-11-51.pth,0.0374,0.0689,0.0282,0.0689,0.0034,90.37,0.9149,0.4472,0.0001,0.0098,89.279508,0.133895,2.677907,0.925586,0.000507,2e-05,0.839032,0.095667,0.008374
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ue_seed_2021_default.log,amazon-beauty,edl,ue,2021,2023070,saved/sasrec_dirichlet_ue_edl_Mar-30-2026_14-11-16.pth,0.0384,0.0685,0.0296,0.0685,0.0034,86.2182,0.909,0.4556,0.0001,0.013,85.095328,0.152429,3.04858,0.913956,0.000496,2.2e-05,0.837024,0.095436,0.008467
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ua_seed_2021_default.log,amazon-beauty,edl,ua,2021,2023070,saved/sasrec_dirichlet_ua_edl_Mar-26-2026_20-54-06.pth,0.0383,0.0693,0.0294,0.0693,0.0035,86.0499,0.9102,0.4534,0.0001,0.0137,85.012004,0.153945,3.078901,0.912988,0.000496,2.3e-05,0.83519,0.096358,0.008653
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ue_seed_2022_default.log,amazon-beauty,edl,ue,2022,2023070,saved/sasrec_dirichlet_ue_edl_Apr-01-2026_01-18-54.pth,0.0379,0.0685,0.0291,0.0685,0.0034,96.0109,0.9095,0.4564,0.0001,0.0109,94.931373,0.14428,2.885602,0.919114,0.000501,2.1e-05,0.83721,0.095292,0.008444
beyond-fairness-dataset/amazon-beauty/de/de_no_dis_default.log,amazon-beauty,de,no_dis,,2023070,saved/ensembles/amazon/beauty/default/de_no_dis/SASRec_DE_posthoc_member1.pth saved/ensembles/amazon/beauty/default/de_no_dis/SASRec_DE_posthoc_member2.pth saved/ensembles/amazon/beauty/default/de_no_dis/SASRec_DE_posthoc_member3.pth saved/ensembles/amazon/beauty/default/de_no_dis/SASRec_DE_posthoc_member4.pth saved/ensembles/amazon/beauty/default/de_no_dis/SASRec_DE_posthoc_member5.pth,0.0329,0.0705,0.022,0.0705,0.0035,135.0414,0.9318,0.4172,0.0001,0.0128,1.523751,0.355685,7.113691,0.02314,6.6e-05,6.3e-05,0.51872,9.9e-05,3.1e-05
beyond-fairness-dataset/amazon-beauty/edl/dirichlet_edl_ue_seed_2023_default.log,amazon-beauty,edl,ue,2023,2023070,saved/sasrec_dirichlet_ue_edl_Apr-01-2026_01-20-02.pth,0.0383,0.0672,0.0299,0.0672,0.0034,77.4975,0.9046,0.4602,0.0001,0.0228,76.239937,0.186879,3.737583,0.891339,0.000476,2.7e-05,0.832832,0.093342,0.008514
beyond-fairness-dataset/amazon-beauty/de/de_ua_default.log,amazon-beauty,de,ua,,2023070,saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_member1.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_member2.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_member3.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_member4.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_member5.pth,0.0329,0.0705,0.022,0.0705,0.0035,135.029,0.9318,0.4174,0.0001,0.0128,1.523751,0.355685,7.113691,0.02314,6.6e-05,6.3e-05,0.51872,9.9e-05,3.1e-05
beyond-fairness-dataset/amazon-beauty/de/de_ue_default.log,amazon-beauty,de,ue,,2023070,saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_ue_member1.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_ue_member2.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_ue_member3.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_ue_member4.pth saved/ensembles/amazon/beauty/default/de_ue/SASRec_DE_posthoc_ue_member5.pth,0.033,0.0707,0.0221,0.0707,0.0035,134.8559,0.9313,0.4191,0.0001,0.0127,1.523751,0.355685,7.113691,0.02314,6.6e-05,6.3e-05,0.51872,9.9e-05,3.1e-05
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_no_dis_seed_2020_default.log,amazon-beauty,bm,no_dis,2020,2023070,saved/sasrec_dirichlet_no_dis_bm_Mar-30-2026_14-14-26.pth,0.0378,0.0702,0.0285,0.0702,0.0035,98.4686,0.9151,0.4503,0.0001,0.0105,97.754062,0.138255,2.765094,0.922882,0.000505,2e-05,0.841051,0.097799,0.008444
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_no_dis_seed_2021_default.log,amazon-beauty,bm,no_dis,2021,2023070,saved/sasrec_dirichlet_no_dis_bm_Mar-26-2026_20-52-25.pth,0.0388,0.0692,0.03,0.0692,0.0035,87.7348,0.9065,0.4656,0.0001,0.0123,86.935154,0.159649,3.192986,0.909325,0.000492,2.3e-05,0.83513,0.09632,0.008653
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_no_dis_seed_2024_default.log,amazon-beauty,bm,no_dis,2024,2023070,saved/sasrec_dirichlet_no_dis_bm_Apr-01-2026_21-10-22.pth,0.0386,0.0683,0.03,0.0683,0.0034,89.1238,0.904,0.4682,0.0001,0.0139,88.183963,0.164249,3.284989,0.906346,0.000489,2.4e-05,0.836828,0.094524,0.008397
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_no_dis_seed_2022_default.log,amazon-beauty,bm,no_dis,2022,2023070,saved/sasrec_dirichlet_no_dis_bm_Apr-01-2026_01-17-00.pth,0.0385,0.0696,0.0296,0.0696,0.0035,101.6448,0.9118,0.4573,0.0001,0.0112,101.019768,0.142599,2.851975,0.920169,0.000502,2.1e-05,0.836683,0.096531,0.008583
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_no_dis_seed_2023_default.log,amazon-beauty,bm,no_dis,2023,2023070,saved/sasrec_dirichlet_no_dis_bm_Apr-01-2026_21-07-51.pth,0.0388,0.0693,0.03,0.0693,0.0035,85.9232,0.9056,0.4659,0.0001,0.0124,85.130774,0.16308,3.261594,0.907106,0.00049,2.4e-05,0.835961,0.096329,0.008607
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ua_seed_2020_default.log,amazon-beauty,bm,ua,2020,2023070,saved/sasrec_dirichlet_ua_bm_Mar-30-2026_14-12-21.pth,0.0378,0.0702,0.0285,0.0702,0.0035,98.4843,0.9151,0.4504,0.0001,0.0105,97.766101,0.138212,2.76423,0.922909,0.000505,2e-05,0.84147,0.097808,0.00842
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ua_seed_2021_default.log,amazon-beauty,bm,ua,2021,2023070,saved/sasrec_dirichlet_ua_bm_Mar-26-2026_20-54-26.pth,0.0388,0.0692,0.03,0.0692,0.0035,87.772,0.9065,0.4656,0.0001,0.0123,86.971633,0.159628,3.192558,0.909339,0.000492,2.3e-05,0.835115,0.09631,0.008653
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ua_seed_2023_default.log,amazon-beauty,bm,ua,2023,2023070,saved/sasrec_dirichlet_ua_bm_Apr-01-2026_21-06-22.pth,0.0388,0.0693,0.03,0.0693,0.0035,85.9125,0.9056,0.4658,0.0001,0.0124,85.1082,0.163032,3.260642,0.907136,0.00049,2.4e-05,0.835931,0.09631,0.008607
beyond-fairness-dataset/amazon-beauty/mcd/mcd_no_dis_2020_default.log,amazon-beauty,mcd,no_dis,,2023070,saved/sasrec_mcd_Apr-05-2026_14-20-37.pth,0.0292,0.0608,0.02,0.0608,0.003,100.6953,0.9278,0.3777,0.0001,0.0175,1.523751,0.355685,7.113691,0.02314,6.6e-05,6.3e-05,0.51872,9.9e-05,3.1e-05
beyond-fairness-dataset/amazon-beauty/mcd/mcd_ua_2020_default.log,amazon-beauty,mcd,ua,,2023070,saved/sasrec_mcd_ua_Apr-05-2026_14-21-24.pth,0.0292,0.0608,0.02,0.0608,0.003,100.6953,0.9278,0.3777,0.0001,0.0175,1.523751,0.355685,7.113691,0.02314,6.6e-05,6.3e-05,0.51872,9.9e-05,3.1e-05
